severity,type,id,detail,files
High,DuplicateSceneID,"sec-11-qa - qa, localization, accessibility-s01",SceneID appears 12 times,"sec-11-qa - qa, localization, accessibility;sec-11-qa - qa, localization, accessibility;sec-11-qa - qa, localization, accessibility;sec-11-qa - qa, localization, accessibility;sec-11-qa - qa, localization, accessibility;sec-11-qa - qa, localization, accessibility;sec-11-qa - qa, localization, accessibility;sec-11-qa - qa, localization, accessibility;sec-11-qa - qa, localization, accessibility;sec-11-qa - qa, localization, accessibility;sec-11-qa - qa, localization, accessibility;sec-11-qa - qa, localization, accessibility"
High,DuplicateSceneID,sec-03-narrative - narrative-s01,SceneID appears 12 times,sec-03-narrative - narrative;sec-03-narrative - narrative;sec-03-narrative - narrative;sec-03-narrative - narrative;sec-03-narrative - narrative;sec-03-narrative - narrative;sec-03-narrative - narrative;sec-03-narrative - narrative;sec-03-narrative - narrative;sec-03-narrative - narrative;sec-03-narrative - narrative;sec-03-narrative - narrative
High,DuplicateSceneID,sec-01-front - front matter & executive summary-s01,SceneID appears 12 times,sec-01-front - front matter & executive summary;sec-01-front - front matter & executive summary;sec-01-front - front matter & executive summary;sec-01-front - front matter & executive summary;sec-01-front - front matter & executive summary;sec-01-front - front matter & executive summary;sec-01-front - front matter & executive summary;sec-01-front - front matter & executive summary;sec-01-front - front matter & executive summary;sec-01-front - front matter & executive summary;sec-01-front - front matter & executive summary;sec-01-front - front matter & executive summary
High,DuplicateSceneID,sec-03_3.2_chapter_list_replace-s01,SceneID appears 12 times,sec-03_3.2_chapter_list_replace;sec-03_3.2_chapter_list_replace;sec-03_3.2_chapter_list_replace;sec-03_3.2_chapter_list_replace;sec-03_3.2_chapter_list_replace;sec-03_3.2_chapter_list_replace;sec-03_3.2_chapter_list_replace;sec-03_3.2_chapter_list_replace;sec-03_3.2_chapter_list_replace;sec-03_3.2_chapter_list_replace;sec-03_3.2_chapter_list_replace;sec-03_3.2_chapter_list_replace
High,DuplicateSceneID,sec-04-loops - core gameplay loops-s01,SceneID appears 12 times,sec-04-loops - core gameplay loops;sec-04-loops - core gameplay loops;sec-04-loops - core gameplay loops;sec-04-loops - core gameplay loops;sec-04-loops - core gameplay loops;sec-04-loops - core gameplay loops;sec-04-loops - core gameplay loops;sec-04-loops - core gameplay loops;sec-04-loops - core gameplay loops;sec-04-loops - core gameplay loops;sec-04-loops - core gameplay loops;sec-04-loops - core gameplay loops
High,DuplicateSceneID,sec-05-systems - systems & mechanics-s01,SceneID appears 12 times,sec-05-systems - systems & mechanics;sec-05-systems - systems & mechanics;sec-05-systems - systems & mechanics;sec-05-systems - systems & mechanics;sec-05-systems - systems & mechanics;sec-05-systems - systems & mechanics;sec-05-systems - systems & mechanics;sec-05-systems - systems & mechanics;sec-05-systems - systems & mechanics;sec-05-systems - systems & mechanics;sec-05-systems - systems & mechanics;sec-05-systems - systems & mechanics
High,DuplicateSceneID,"sec-06-world - world, levels, & content-s01",SceneID appears 12 times,"sec-06-world - world, levels, & content;sec-06-world - world, levels, & content;sec-06-world - world, levels, & content;sec-06-world - world, levels, & content;sec-06-world - world, levels, & content;sec-06-world - world, levels, & content;sec-06-world - world, levels, & content;sec-06-world - world, levels, & content;sec-06-world - world, levels, & content;sec-06-world - world, levels, & content;sec-06-world - world, levels, & content;sec-06-world - world, levels, & content"
High,DuplicateSceneID,"sec-07-ui - ui-ux (devices, hud, menus)-s01",SceneID appears 12 times,"sec-07-ui - ui-ux (devices, hud, menus);sec-07-ui - ui-ux (devices, hud, menus);sec-07-ui - ui-ux (devices, hud, menus);sec-07-ui - ui-ux (devices, hud, menus);sec-07-ui - ui-ux (devices, hud, menus);sec-07-ui - ui-ux (devices, hud, menus);sec-07-ui - ui-ux (devices, hud, menus);sec-07-ui - ui-ux (devices, hud, menus);sec-07-ui - ui-ux (devices, hud, menus);sec-07-ui - ui-ux (devices, hud, menus);sec-07-ui - ui-ux (devices, hud, menus);sec-07-ui - ui-ux (devices, hud, menus)"
High,DuplicateSceneID,sec-08-artaudio - art direction & audio-s01,SceneID appears 12 times,sec-08-artaudio - art direction & audio;sec-08-artaudio - art direction & audio;sec-08-artaudio - art direction & audio;sec-08-artaudio - art direction & audio;sec-08-artaudio - art direction & audio;sec-08-artaudio - art direction & audio;sec-08-artaudio - art direction & audio;sec-08-artaudio - art direction & audio;sec-08-artaudio - art direction & audio;sec-08-artaudio - art direction & audio;sec-08-artaudio - art direction & audio;sec-08-artaudio - art direction & audio
High,DuplicateSceneID,sec-09-tech - technology & performance targets-s01,SceneID appears 12 times,sec-09-tech - technology & performance targets;sec-09-tech - technology & performance targets;sec-09-tech - technology & performance targets;sec-09-tech - technology & performance targets;sec-09-tech - technology & performance targets;sec-09-tech - technology & performance targets;sec-09-tech - technology & performance targets;sec-09-tech - technology & performance targets;sec-09-tech - technology & performance targets;sec-09-tech - technology & performance targets;sec-09-tech - technology & performance targets;sec-09-tech - technology & performance targets
High,DuplicateSceneID,diplomagic_gdd_combined-s01,SceneID appears 12 times,diplomagic_gdd_combined;diplomagic_gdd_combined;diplomagic_gdd_combined;diplomagic_gdd_combined;diplomagic_gdd_combined;diplomagic_gdd_combined;diplomagic_gdd_combined;diplomagic_gdd_combined;diplomagic_gdd_combined;diplomagic_gdd_combined;diplomagic_gdd_combined;diplomagic_gdd_combined
High,DuplicateSceneID,sec-10-production - production plan & milestones-s01,SceneID appears 12 times,sec-10-production - production plan & milestones;sec-10-production - production plan & milestones;sec-10-production - production plan & milestones;sec-10-production - production plan & milestones;sec-10-production - production plan & milestones;sec-10-production - production plan & milestones;sec-10-production - production plan & milestones;sec-10-production - production plan & milestones;sec-10-production - production plan & milestones;sec-10-production - production plan & milestones;sec-10-production - production plan & milestones;sec-10-production - production plan & milestones
High,DuplicateSceneID,"sec-12-risks - risks, legal, ratings-s01",SceneID appears 12 times,"sec-12-risks - risks, legal, ratings;sec-12-risks - risks, legal, ratings;sec-12-risks - risks, legal, ratings;sec-12-risks - risks, legal, ratings;sec-12-risks - risks, legal, ratings;sec-12-risks - risks, legal, ratings;sec-12-risks - risks, legal, ratings;sec-12-risks - risks, legal, ratings;sec-12-risks - risks, legal, ratings;sec-12-risks - risks, legal, ratings;sec-12-risks - risks, legal, ratings;sec-12-risks - risks, legal, ratings"
High,DuplicateSceneID,sec-13-appendices - appendices-s01,SceneID appears 12 times,sec-13-appendices - appendices;sec-13-appendices - appendices;sec-13-appendices - appendices;sec-13-appendices - appendices;sec-13-appendices - appendices;sec-13-appendices - appendices;sec-13-appendices - appendices;sec-13-appendices - appendices;sec-13-appendices - appendices;sec-13-appendices - appendices;sec-13-appendices - appendices;sec-13-appendices - appendices
High,DuplicateSceneID,sec-14-qa - quality assurance test plan-s01,SceneID appears 12 times,sec-14-qa - quality assurance test plan;sec-14-qa - quality assurance test plan;sec-14-qa - quality assurance test plan;sec-14-qa - quality assurance test plan;sec-14-qa - quality assurance test plan;sec-14-qa - quality assurance test plan;sec-14-qa - quality assurance test plan;sec-14-qa - quality assurance test plan;sec-14-qa - quality assurance test plan;sec-14-qa - quality assurance test plan;sec-14-qa - quality assurance test plan;sec-14-qa - quality assurance test plan
High,DuplicateSceneID,sec-02-pillars - pillars & audience-s01,SceneID appears 12 times,sec-02-pillars - pillars & audience;sec-02-pillars - pillars & audience;sec-02-pillars - pillars & audience;sec-02-pillars - pillars & audience;sec-02-pillars - pillars & audience;sec-02-pillars - pillars & audience;sec-02-pillars - pillars & audience;sec-02-pillars - pillars & audience;sec-02-pillars - pillars & audience;sec-02-pillars - pillars & audience;sec-02-pillars - pillars & audience;sec-02-pillars - pillars & audience
High,DuplicateSceneID,root_merge_risk_register-s01,SceneID appears 2 times,root_merge_risk_register;root_merge_risk_register
High,DuplicateSceneID,root_merge_smoke_checks-s01,SceneID appears 2 times,root_merge_smoke_checks;root_merge_smoke_checks
High,DuplicateSceneID,ch4_convergence_rework-s01,SceneID appears 2 times,ch4_convergence_rework;ch4_convergence_rework
High,DuplicateSceneID,sec-06-ch6_srs_secret_annex_world-s01,SceneID appears 2 times,sec-06-ch6_srs_secret_annex_world;sec-06-ch6_srs_secret_annex_world
High,DuplicateSceneID,sec-03-ch4_narrative-s01,SceneID appears 2 times,sec-03-ch4_narrative;sec-03-ch4_narrative
High,DuplicateSceneID,sec-05-ch4_systems-s01,SceneID appears 2 times,sec-05-ch4_systems;sec-05-ch4_systems
High,DuplicateSceneID,pr_status_board_ch7-s01,SceneID appears 2 times,pr_status_board_ch7;pr_status_board_ch7
High,MissingFields,.release_pr_body-s01,"Missing: chapter, pov, date, location",.release_pr_body
High,MissingFields,000_diplomagic_next_task-s01,"Missing: chapter, pov, date, location",000_diplomagic_next_task
High,MissingFields,archive_index_diplomagic-s01,"Missing: chapter, pov, date, location",archive_index_diplomagic
High,MissingFields,auto_merge_report-s01,"Missing: chapter, pov, date, location",auto_merge_report
High,MissingFields,changelog-s01,"Missing: chapter, pov, date, location",changelog
High,MissingFields,changelog_auto-s01,"Missing: chapter, pov, date, location",changelog_auto
High,MissingFields,contributing-s01,"Missing: chapter, pov, date, location",contributing
High,MissingFields,corkboard — 2025-08-17 — canvas audit and chat alignment-s01,"Missing: chapter, pov, location",corkboard — 2025-08-17 — canvas audit and chat alignment
High,MissingFields,departments — roster-s01,"Missing: chapter, pov, location",departments — roster
High,MissingFields,diplomagic_gdd_automerge_runbook-s01,"Missing: chapter, pov, date, location",diplomagic_gdd_automerge_runbook
High,MissingFields,diplomagic_gdd_combined-s01,"Missing: chapter, pov, location",diplomagic_gdd_combined
High,MissingFields,mail — dashboard-s01,"Missing: chapter, pov, location",mail — dashboard
High,MissingFields,master_manifest-s01,"Missing: chapter, pov, date, location",master_manifest
